桩号,填方面积(㎡),挖方面积(㎡),清表面积(㎡),清表左边界X,清表右边界X,top,CRR,C1,C2,G15,G7,top,CRR,C1,C2,G15,G17
K87+075,23.184,0.000,6.608,-10.389,11.497,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+100,19.828,0.000,6.338,-10.094,10.946,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+125,18.559,0.000,6.464,-10.226,11.108,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+150,16.666,0.000,6.347,-10.002,11.085,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+175,17.233,0.000,6.396,-10.090,11.083,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+200,16.651,0.000,6.247,-10.097,10.661,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+225,18.652,0.000,6.459,-10.092,11.114,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+250,16.507,0.000,6.477,-10.208,11.014,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+275,16.387,0.000,6.423,-10.142,10.912,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+300,18.007,0.000,6.471,-10.413,10.872,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+325,15.216,0.001,6.528,-10.620,10.712,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+350,12.131,0.000,5.755,-8.046,10.901,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+375,13.286,0.000,6.449,-10.404,10.987,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+400,14.892,0.000,6.966,-10.587,11.402,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+425,8.502,0.037,6.187,-10.272,10.242,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+450,10.591,0.000,6.276,-10.080,10.755,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+475,9.522,0.000,6.218,-10.092,10.548,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+500,10.202,0.000,5.322,-9.972,7.725,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+525,41.468,0.000,7.531,-12.554,12.430,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+550,41.403,0.000,7.388,-12.478,11.991,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+575,43.126,0.000,7.532,-12.568,12.416,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+600,43.207,0.000,7.520,-12.514,12.406,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+625,45.215,0.000,7.623,-12.567,12.762,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+650,44.867,0.000,7.520,-12.365,12.642,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+675,41.192,0.000,7.414,-12.338,12.198,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+700,38.647,0.000,7.371,-12.118,12.253,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+725,35.803,0.000,7.324,-12.063,12.257,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+750,36.860,0.000,7.291,-11.670,12.563,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+775,35.919,0.000,7.150,-11.524,12.203,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+800,36.281,0.000,7.324,-12.036,12.243,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+825,36.171,0.000,7.190,-11.680,12.137,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+850,33.579,0.000,7.110,-11.455,11.851,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+875,33.950,0.000,7.120,-11.704,11.897,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+900,30.194,0.000,6.560,-9.559,11.961,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+925,34.544,0.000,7.188,-12.085,11.820,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+950,33.881,0.000,7.182,-11.726,11.934,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+975,29.642,0.000,7.123,-11.656,11.739,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+000,30.162,0.000,6.849,-11.488,10.920,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+025,22.473,0.000,6.789,-10.729,11.220,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+050,22.615,0.000,6.766,-11.076,11.192,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+075,21.396,0.000,6.743,-10.665,11.260,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+100,21.554,0.000,6.658,-10.669,11.209,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+125,21.447,0.000,6.533,-10.783,10.752,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+150,20.953,0.000,6.561,-10.595,10.904,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+175,19.418,0.000,6.616,-10.842,10.842,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+200,19.471,0.000,6.552,-10.739,10.917,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+225,19.693,0.000,6.658,-11.167,10.791,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+250,21.174,0.000,6.526,-10.718,10.972,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+275,22.036,0.000,6.641,-10.971,11.010,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+300,21.987,0.000,6.427,-10.457,10.903,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+325,23.047,0.000,6.349,-10.246,10.840,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+350,23.502,0.000,6.486,-10.519,10.937,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+375,24.334,0.000,6.510,-10.533,11.094,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+400,24.401,0.000,6.486,-10.520,11.039,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+425,25.211,0.000,6.331,-10.202,10.717,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+450,27.360,0.000,6.632,-10.705,11.367,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+475,29.907,0.000,6.684,-10.731,11.471,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+500,31.730,0.000,6.775,-10.859,11.641,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+525,33.090,0.000,7.253,-12.017,11.649,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+550,33.135,0.000,7.146,-11.961,11.657,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+575,33.636,0.000,7.035,-11.911,11.228,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+600,34.506,0.000,7.019,-11.782,11.543,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+625,27.481,0.000,6.788,-11.091,11.009,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+650,34.581,0.000,7.055,-11.849,11.634,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+675,37.340,0.000,7.225,-11.801,12.207,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+700,37.552,0.000,7.296,-11.942,12.281,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+725,23.885,0.000,6.837,-11.304,11.327,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+750,23.328,0.000,6.912,-11.181,11.649,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+775,23.304,0.000,6.939,-11.222,11.687,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
